Ano;Território;Desemprego 25-34 anos;Desemprego 35-44 anos;Desemprego 45-54 anos;Desemprego 55+ anos;População com 1º Ciclo;População com 2º Ciclo;População com 3º Ciclo/Secundário;Pré-Escolar;População Empregada - Homens;População Empregada - Mulheres;População Empregada - Total
2009;Valença;162.2;150.8;105.5;84.6;166.7;116.7;51.6;150.0;;;626.8
2009;Valongo;1597.6;1656.5;1596.1;1075.3;55.2;147.3;126.2;75.7;;;6917.7
2009;Valpaços;139.1;159.6;179.8;137.3;775.0;180.0;34.7;233.3;;;710.5
2009;Vendas Novas;116.9;76.8;69.6;69.5;200.0;133.3;65.8;100.0;;;398.1
2009;Viana do Alentejo;54.9;48.3;42.8;22.4;600.0;133.3;33.3;40.0;;;223.8
2009;Viana do Castelo;916.1;792.6;846.8;723.1;132.8;198.4;93.3;102.6;;;3818.6
2009;Vidigueira;58.4;54.5;53.4;47.8;100.0;600.0;77.8;150.0;;;246.6
2009;Vieira do Minho;188.7;185.6;186.3;164.3;180.0;87.5;37.5;16.7;;;863.3
2009;Vila Flor;71.6;70.0;87.5;66.8;;100.0;57.1;66.7;;;333.7
2009;Vila Franca de Xira;1607.8;1293.6;1151.6;1048.4;43.5;92.6;109.0;38.5;;;5869.9
2009;Vila Nova da Barquinha;65.3;56.2;41.3;27.3;200.0;125.0;100.0;150.0;;;234.4
2009;Vila Nova de Cerveira;101.6;85.9;72.0;65.0;125.0;275.0;26.7;125.0;;;384.7
2009;Vila Nova de Famalicão;1555.1;1712.0;2253.0;1878.9;73.4;101.9;41.3;47.3;;;8429.3
2009;Vila Nova de Foz Côa;76.8;58.2;52.5;32.5;220.0;100.0;133.3;100.0;;;269.1
2009;Vila Nova de Gaia;5059.8;5746.9;5929.1;4459.9;54.6;249.7;126.3;70.1;;;23979.7
2009;Vila Nova de Paiva;77.1;60.1;66.3;54.6;87.5;133.3;29.6;100.0;;;322.9
2009;Vila Nova de Poiares;66.7;47.0;44.6;29.5;125.0;114.3;114.3;;;;257.2
2009;Vila Pouca de Aguiar;131.4;132.9;158.0;120.1;2400.0;316.7;52.2;66.7;;;626.8
2009;Vila Real;793.8;586.8;536.1;407.8;661.5;210.5;128.7;88.9;;;2734.3
2009;Vila Real de Santo António;248.0;235.6;196.2;135.1;42.9;100.0;47.8;;;;964.0
2009;Vila Velha de Ródão;13.8;12.9;18.4;22.7;;50.0;40.0;;;;76.3
2009;Vila Verde;543.1;451.3;415.8;299.4;85.4;156.3;48.4;183.3;;;2026.3
2009;Vila Viçosa;77.5;62.3;43.2;20.0;120.0;220.0;58.6;50.0;;;273.3
2009;Vila de Rei;20.0;17.2;12.9;16.3;;33.3;66.7;200.0;;;85.3
2009;Vila do Bispo;37.6;28.1;29.8;23.6;28.6;14.3;30.8;;;;136.4
2009;Vila do Conde;1036.8;1044.2;1232.2;1053.0;54.1;214.3;98.4;140.0;;;5055.0
2009;Vimioso;37.8;28.0;29.1;22.1;400.0;;28.6;;;;140.5
2009;Vinhais;82.4;70.9;76.1;59.6;900.0;100.0;13.6;;;;344.0
2009;Viseu;1461.2;993.3;1015.5;778.7;148.4;192.8;111.7;147.8;;;5060.6
2009;Vizela;282.6;334.1;554.8;465.1;44.4;63.9;17.1;42.9;;;1846.4
2009;Vouzela;56.9;73.5;81.2;95.8;133.3;87.5;20.0;150.0;;;349.6
2009;Águeda;479.7;422.2;435.6;428.1;105.4;97.0;98.7;54.5;;;2084.3
2009;Évora;754.1;542.3;442.9;322.8;139.4;197.0;146.0;54.8;;;2539.5
