Ano,Território,Desemprego 25-34 anos,População com 1º Ciclo,População com 2º Ciclo,População com 3º Ciclo/Secundário,Pré-Escolar,População Empregada - Homens,População Empregada - Total,Cluster
2009,Vila Pouca de Aguiar,131.4,2400.0,316.7,52.2,66.7,3481.5006715916725,626.8,2
2009,Vila Real,793.8,661.5,210.5,128.7,88.9,3481.5006715916725,2734.3,1
2009,Vila Real de Santo António,248.0,42.9,100.0,47.8,608.1002453557659,3481.5006715916725,964.0,1
2009,Vila Velha de Ródão,13.8,911.898627596439,50.0,40.0,608.1002453557659,3481.5006715916725,76.3,1
2009,Vila Verde,543.1,85.4,156.3,48.4,183.3,3481.5006715916725,2026.3,1
2009,Vila Viçosa,77.5,120.0,220.0,58.6,50.0,3481.5006715916725,273.3,1
2009,Vila de Rei,20.0,911.898627596439,33.3,66.7,200.0,3481.5006715916725,85.3,1
2009,Vila do Bispo,37.6,28.6,14.3,30.8,608.1002453557659,3481.5006715916725,136.4,1
2009,Vila do Conde,1036.8,54.1,214.3,98.4,140.0,3481.5006715916725,5055.0,0
2009,Vimioso,37.8,400.0,996.7853123977756,28.6,608.1002453557659,3481.5006715916725,140.5,2
2009,Vinhais,82.4,900.0,100.0,13.6,608.1002453557659,3481.5006715916725,344.0,1
2009,Viseu,1461.2,148.4,192.8,111.7,147.8,3481.5006715916725,5060.6,0
2009,Vizela,282.6,44.4,63.9,17.1,42.9,3481.5006715916725,1846.4,1
2009,Vouzela,56.9,133.3,87.5,20.0,150.0,3481.5006715916725,349.6,1
2009,Águeda,479.7,105.4,97.0,98.7,54.5,3481.5006715916725,2084.3,1
2009,Évora,754.1,139.4,197.0,146.0,54.8,3481.5006715916725,2539.5,1
2009,Ílhavo,504.8,143.5,358.3,103.2,108.3,3481.5006715916725,1790.7,1
2009,Óbidos,88.3,50.0,109.1,24.0,128.6,3481.5006715916725,446.9,1
2010,Abrantes,537.0,141.7,168.4,132.7,212.5,3481.5006715916725,2160.4,1
2010,Aguiar da Beira,40.5,600.0,996.7853123977756,16.7,608.1002453557659,3481.5006715916725,199.8,2
2010,Alandroal,69.5,40.0,100.0,37.5,200.0,3481.5006715916725,315.4,1
2010,Albergaria-a-Velha,259.3,123.5,77.3,76.4,100.0,3481.5006715916725,1203.8,1
2010,Albufeira,811.8,42.6,77.8,26.7,33.3,3481.5006715916725,2920.2,1
2010,Alcanena,118.8,92.3,190.0,94.1,600.0,3481.5006715916725,505.8,1
2010,Alcobaça,546.6,69.0,211.1,82.5,92.0,3481.5006715916725,2568.8,1
2010,Alcochete,180.3,30.4,78.6,57.4,71.4,3481.5006715916725,665.6,1
2010,Alcoutim,8.3,20.0,10.0,1160.0324398797595,25.0,3481.5006715916725,46.0,1
2010,Alcácer do Sal,105.6,85.7,42.9,35.9,62.5,3481.5006715916725,447.7,1
2010,Alenquer,565.5,68.3,88.2,71.8,55.0,3481.5006715916725,2036.3,1
2010,Alfândega da Fé,44.6,1000.0,150.0,20.0,300.0,3481.5006715916725,273.9,1
2010,Alijó,157.2,216.7,142.9,37.1,300.0,3481.5006715916725,668.1,1
2010,Aljezur,49.8,120.0,20.0,25.0,50.0,3481.5006715916725,205.4,1
2010,Aljustrel,88.0,66.7,114.3,31.6,33.3,3481.5006715916725,392.7,1
2010,Almeida,35.6,300.0,150.0,48.1,400.0,3481.5006715916725,178.2,1
2010,Almeirim,242.1,70.6,106.7,102.8,100.0,3481.5006715916725,1014.7,1
