Ano,25-34,Básico - 1º Ciclo,Básico - 2º Ciclo,Básico - 3º Ciclo e secundário,Educação Pré-Escolar,Homens
2010,340.1,242.9,92.3,13.4,40.0,4006.4644790257103
2010,130.0,73.3,54.5,41.4,233.3,4006.4644790257103
2010,705.8,94.2,130.0,88.5,141.2,4006.4644790257103
2010,183.0,109.1,200.0,110.0,150.0,4006.4644790257103
2010,117.2,100.0,100.0,22.9,606.0225288159273,4006.4644790257103
2010,355.7,286.7,257.9,178.3,100.0,4006.4644790257103
2010,72.8,908.5050445103858,900.0,57.1,33.3,4006.4644790257103
2010,86.5,200.0,100.0,55.3,606.0225288159273,4006.4644790257103
2010,237.2,110.5,65.4,123.8,75.0,4006.4644790257103
2010,2058.1,40.3,153.8,182.1,56.1,4006.4644790257103
2010,28.3,908.5050445103858,25.0,1157.552021089631,606.0225288159273,4006.4644790257103
2010,742.4,564.3,273.1,214.7,207.7,4006.4644790257103
2010,282.1,47.1,24.0,5.9,57.1,4006.4644790257103
2010,34.4,300.0,997.7471821756225,40.0,606.0225288159273,4006.4644790257103
2010,119.8,250.0,175.0,33.3,200.0,4006.4644790257103
2010,60.3,40.0,50.0,38.5,50.0,4006.4644790257103
2010,73.0,133.3,87.5,28.6,150.0,4006.4644790257103
2010,78.8,350.0,1100.0,14.3,606.0225288159273,4006.4644790257103
2010,318.6,91.7,42.9,22.2,606.0225288159273,4006.4644790257103
2010,98.5,80.0,333.3,85.7,606.0225288159273,4006.4644790257103
2010,603.1,650.0,375.0,132.9,81.3,4006.4644790257103
2010,335.6,58.8,37.9,12.3,120.0,4006.4644790257103
2010,1879.1,120.9,186.2,236.5,57.6,4006.4644790257103
2010,136.3,240.0,357.1,207.7,57.1,4006.4644790257103
2010,51.3,66.7,997.7471821756225,50.0,606.0225288159273,4006.4644790257103
2010,222.6,92.9,47.4,115.6,275.0,4006.4644790257103
2010,753.2,356.3,255.0,114.9,228.6,4006.4644790257103
2010,49.5,908.5050445103858,600.0,25.0,66.7,4006.4644790257103
2010,48.0,400.0,500.0,80.0,606.0225288159273,4006.4644790257103
2010,408.9,190.0,100.0,69.9,114.3,4006.4644790257103
2010,238.8,90.9,168.8,163.6,37.5,4006.4644790257103
2010,719.5,73.7,216.7,160.3,185.7,4006.4644790257103
2010,307.3,196.0,380.0,83.1,100.0,4006.4644790257103
2010,310.0,57.1,92.0,98.0,60.0,4006.4644790257103
2010,137.8,53.8,94.4,73.8,71.4,4006.4644790257103
2010,688.1,114.6,319.0,52.5,66.7,4006.4644790257103
2010,893.2,73.4,163.4,117.6,16.7,4006.4644790257103
2010,613.8,110.0,74.1,23.3,42.9,4006.4644790257103
2010,127.2,142.9,50.0,47.1,66.7,4006.4644790257103
2010,58.7,33.3,80.0,25.0,200.0,4006.4644790257103
2010,936.4,133.3,286.4,288.9,121.1,4006.4644790257103
